"imdb","trakt_id","watched_at","title","year","slug"
"tt0118688","331","2019-12-26T17:02:50.000Z","b'Batman & Robin'","1997","batman-robin-1997"
"tt0831887","4108","2019-12-26T16:59:14.000Z","b'The Spirit'","2008","the-spirit-2008"
"tt1441395","70756","2019-12-26T16:57:11.000Z","b'Under the Skin'","2014","under-the-skin-2014"
"tt2283336","326808","2019-12-26T14:43:38.000Z","b'Men in Black: International'","2019","men-in-black-international-2019"
"tt4154916","237986","2019-12-26T12:38:28.000Z","b'Replicas'","2018","replicas-2018"
"tt0212720","520","2019-12-23T19:21:29.000Z","b'A.I. Artificial Intelligence'","2001","a-i-artificial-intelligence-2001"
"tt0329774","6753","2019-12-23T18:52:26.000Z","b'xXx: State of the Union'","2005","xxx-state-of-the-union-2005"
"tt0955411","13600","2019-12-23T18:44:20.000Z","b'The Ten Commandments'","2007","the-ten-commandments-2007"
"tt0473075","4821","2019-12-23T18:44:09.000Z","b'Prince of Persia: The Sands of Time'","2010","prince-of-persia-the-sands-of-time-2010"
"tt3778644","221890","2019-12-23T13:32:06.000Z","b'Solo: A Star Wars Story'","2018","solo-a-star-wars-story-2018"
"tt2960930","163697","2019-12-22T22:05:29.000Z","b'Extraterrestrial'","2014","extraterrestrial-2014"
"tt0389722","2648","2019-12-22T19:53:58.000Z","b'30 Days of Night'","2007","30-days-of-night-2007"
"tt9177882","405414","2019-12-22T16:34:46.000Z","b'Constantine: City of Demons - The Movie'","2018","constantine-city-of-demons-the-movie-2018"
"tt8110640","380096","2019-12-20T20:19:01.000Z","b'In the Shadow of the Moon'","2019","in-the-shadow-of-the-moon-2019"
"tt2935510","298164","2019-12-19T19:57:47.000Z","b'Ad Astra'","2019","ad-astra-2019"
"tt7286456","322988","2019-12-19T17:10:28.000Z","b'Joker'","2019","joker-2019"
"tt3748528","211396","2019-12-16T18:00:41.000Z","b'Rogue One: A Star Wars Story'","2016","rogue-one-a-star-wars-story-2016"
"tt2316411","114374","2019-12-15T20:17:11.000Z","b'Enemy'","2013","enemy-2013"
"tt0251075","4686","2019-12-08T19:40:03.000Z","b'Evolution'","2001","evolution-2001"
"tt0146336","5114","2019-12-05T17:19:55.000Z","b'Urban Legend'","1998","urban-legend-1998"
"tt4703048","225022","2019-12-01T20:26:47.000Z","b'6 Days'","2017","6-days-2017"
"tt0162661","1799","2019-11-30T19:41:06.000Z","b'Sleepy Hollow'","1999","sleepy-hollow-1999"
"tt2910814","147496","2019-11-25T17:05:11.000Z","b'The Signal'","2014","the-signal-2014"
"tt2345759","179407","2019-11-24T20:18:06.000Z","b'The Mummy'","2017","the-mummy-2017"
"tt1528100","97444","2019-11-24T15:27:56.000Z","b'Exodus: Gods and Kings'","2014","exodus-gods-and-kings-2014"
"tt4263482","196130","2019-11-24T15:23:24.000Z","b'The Witch'","2015","the-witch-2015"
"tt4332232","419493","2019-11-24T15:20:21.000Z","b'Fractured'","2019","fractured-2019"
"tt8178486","361121","2019-11-23T15:07:32.000Z","b'Earthquake Bird'","2019","earthquake-bird-2019"
"tt9243946","410927","2019-11-20T16:56:16.000Z","b'El Camino: A Breaking Bad Movie'","2019","el-camino-a-breaking-bad-movie-2019"
"tt1515091","41908","2019-11-19T07:22:44.000Z","b'Sherlock Holmes: A Game of Shadows'","2011","sherlock-holmes-a-game-of-shadows-2011"
"tt0988045","5706","2019-11-19T07:22:01.000Z","b'Sherlock Holmes'","2009","sherlock-holmes-2009"
"tt0134119","859","2019-11-18T18:44:01.000Z","b'The Talented Mr. Ripley'","1999","the-talented-mr-ripley-1999"
"tt1010048","7198","2019-11-15T20:10:24.000Z","b'Slumdog Millionaire'","2008","slumdog-millionaire-2008"
"tt3170832","163360","2019-11-13T20:00:00.000Z","b'Room'","2015","room-2015"
"tt1139328","6527","2019-11-12T20:40:15.000Z","b'The Ghost Writer'","2010","the-ghost-writer-2010"
"tt0120755","794","2019-11-12T20:34:20.000Z","b'Mission: Impossible II'","2000","mission-impossible-ii-2000"
"tt0209163","1163","2019-11-12T19:59:30.000Z","b'The Mummy Returns'","2001","the-mummy-returns-2001"
"tt0120616","445","2019-11-12T19:59:30.000Z","b'The Mummy'","1999","the-mummy-1999"
"tt1964418","102924","2019-11-11T19:28:11.000Z","b'Tomorrowland'","2015","tomorrowland-2015"
"tt6243140","322528","2019-11-11T14:17:28.000Z","b'Ravenous'","2017","ravenous-2017"
"tt0142240","25358","2019-11-11T14:16:30.000Z","b""Dragon Ball Z: The World's Strongest""","1990","dragon-ball-z-the-world-s-strongest-1990"
"tt0142236","25365","2019-11-11T14:16:30.000Z","b'Dragon Ball Z: Fusion Reborn'","1995","dragon-ball-z-fusion-reborn-1995"
"tt2263944","87037","2019-11-11T14:16:30.000Z","b'Dragon Ball Z: Battle of Gods'","2013","dragon-ball-z-battle-of-gods-2013"
"","425942","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: The Real 4-D at Super Tenkaichi Budokai'","2017","dragon-ball-z-the-real-4-d-at-super-tenkaichi-budokai-2017"
"tt1517470","193554","2019-11-11T14:16:29.000Z","b""Dragon Ball Z: Atsumare! Goku's World""","1992","dragon-ball-z-atsumare-goku-s-world-1992"
"tt1125254","14926","2019-11-11T14:16:29.000Z","b""Dragon Ball Z: Cooler's Revenge""","1991","dragon-ball-z-cooler-s-revenge-1991"
"tt0142242","21993","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: Broly \xe2\x80\x93 The Legendary Super Saiyan'","1993","dragon-ball-z-broly-the-legendary-super-saiyan-1993"
"","410465","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: The Real 4-D'","2016","dragon-ball-z-the-real-4-d-2016"
"tt3819668","194758","2019-11-11T14:16:29.000Z","b""Dragon Ball Z: Resurrection 'F'""","2015","dragon-ball-z-resurrection-f-2015"
"tt0142239","29969","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: Broly \xe2\x80\x93 Second Coming'","1994","dragon-ball-z-broly-second-coming-1994"
"tt1317478","24950","2019-11-11T14:16:29.000Z","b'Dragon Ball: Yo! Son Goku and His Friends Return!!'","2008","dragon-ball-yo-son-goku-and-his-friends-return-2008"
"tt0142237","25361","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: The Return of Cooler'","1992","dragon-ball-z-the-return-of-cooler-1992"
"tt0142249","25396","2019-11-11T14:16:29.000Z","b""Dragon Ball: Sleeping Princess in Devil's Castle""","1987","dragon-ball-sleeping-princess-in-devil-s-castle-1987"
"tt0142241","25362","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: Super Android 13!'","1992","dragon-ball-z-super-android-13-1992"
"tt0142238","25363","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: Bojack Unbound'","1993","dragon-ball-z-bojack-unbound-1993"
"tt0142233","25359","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: The Tree of Might'","1990","dragon-ball-z-the-tree-of-might-1990"
