certification,country,duration,genres,ids,language,overview,rating,released,tagline,title,votes,watched_at,year
PG-13,us,128.0,"['action', 'adventure', 'thriller']","{'trakt': 23290, 'slug': 'the-world-is-not-enough-1999', 'imdb': 'tt0143145', 'tmdb': 36643}",en,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to protect a beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.",6.89144,1999-11-19,As the countdown begins for the new millennium there is still one number you can always count on.,The World Is Not Enough,3795.0,2020-01-01T23:33:18.000Z,1999.0
PG-13,us,144.0,"['action', 'adventure', 'thriller']","{'trakt': 23217, 'slug': 'casino-royale-2006', 'imdb': 'tt0381061', 'tmdb': 36557}",en,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",7.93138,2006-11-17,Everyone has a past. Every legend has a beginning.,Casino Royale,15433.0,2020-01-01T23:32:59.000Z,2006.0
R,gb,105.0,"['crime', 'drama', 'thriller']","{'trakt': 2819, 'slug': 'layer-cake-2004', 'imdb': 'tt0375912', 'tmdb': 4836}",en,"When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin...",7.51518,2005-05-13,,Layer Cake,3096.0,2020-01-01T21:40:47.000Z,2004.0
PG-13,us,121.0,"['adventure', 'drama', 'action']","{'trakt': 153969, 'slug': 'everest-2015', 'imdb': 'tt2719848', 'tmdb': 253412}",en,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",7.20103,2015-09-25,The Storm Awaits.,Everest,8909.0,2020-01-01T19:40:12.000Z,2015.0
,ca,91.0,"['science-fiction', 'horror']","{'trakt': 301861, 'slug': 'the-recall-2017', 'imdb': 'tt5669936', 'tmdb': 455551}",en,"When five friends vacation at a remote lake house, they expect nothing less then a good time, unaware that Earth is under attack by an alien invasion and mass-abductions.",6.00871,2017-06-02,They've come to claim what's theirs,The Recall,2182.0,2020-01-01T17:28:24.000Z,2017.0
R,us,140.0,"['thriller', 'mystery']","{'trakt': 254340, 'slug': 'red-sparrow-2018', 'imdb': 'tt2873282', 'tmdb': 401981}",en,"Prima ballerina, Dominika Egorova faces a bleak and uncertain future after she suffers an injury that ends her career. She soon turns to Sparrow School, a secret intelligence service that trains exceptional young people to use their minds and bodies as weapons. Dominika emerges as the most dangerous Sparrow after completing the sadistic training process. As she comes to terms with her new abilities, she meets a CIA agent who tries to convince her that he is the only person she can trust.",7.16627,2018-03-02,Seduce. Deceive. Repeat.,Red Sparrow,12047.0,2019-12-30T10:16:43.000Z,2018.0
PG-13,us,148.0,"['action', 'adventure']","{'trakt': 222160, 'slug': 'mission-impossible-fallout-2018', 'imdb': 'tt4912910', 'tmdb': 353081}",en,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",7.70884,2018-07-27,Some Missions Are Not A Choice,Mission: Impossible - Fallout,16022.0,2019-12-29T21:18:22.000Z,2018.0
R,us,115.0,"['action', 'crime']","{'trakt': 217731, 'slug': 'american-made-2017', 'imdb': 'tt3532216', 'tmdb': 337170}",en,"The true story of pilot Barry Seal, who transported contraband for the CIA and the Medellin cartel in the 1980s.",7.37082,2017-09-29,Based on a True Lie,American Made,14166.0,2019-12-29T19:22:47.000Z,2017.0
R,us,131.0,"['crime', 'thriller', 'action']","{'trakt': 304278, 'slug': 'john-wick-chapter-3-parabellum-2019', 'imdb': 'tt6146586', 'tmdb': 458156}",en,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",7.72271,2019-05-17,The Grace Period Is Over,John Wick: Chapter 3 - Parabellum,15150.0,2019-12-29T14:34:29.000Z,2019.0
R,us,97.0,"['action', 'science-fiction', 'horror', 'mystery']","{'trakt': 368959, 'slug': 'doom-annihilation-2019', 'imdb': 'tt8328716', 'tmdb': 520901}",en,"A group of UAC Marines responds to a distress call from a top-secret scientific base on Phobos, a Martian moon, only to discover it's been overrun by demons.",5.5937,2019-09-30,Your Mission: Don't Die.,Doom: Annihilation,1238.0,2019-12-27T20:17:23.000Z,2019.0
R,us,157.0,"['adventure', 'drama', 'western']","{'trakt': 179334, 'slug': 'the-revenant-2015', 'imdb': 'tt1663202', 'tmdb': 281957}",en,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",7.7065,2016-01-08,"(n. One who has returned, as if from the dead.)",The Revenant,28794.0,2019-12-26T21:49:51.000Z,2015.0
PG-13,us,112.0,"['science-fiction', 'superhero', 'action']","{'trakt': 216715, 'slug': 'venom-2018', 'imdb': 'tt1270797', 'tmdb': 335983}",en,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",7.20388,2018-10-05,The world has enough Superheroes.,Venom,21728.0,2019-12-26T21:47:36.000Z,2018.0
PG-13,us,99.0,"['drama', 'mystery', 'science-fiction', 'romance']","{'trakt': 1452, 'slug': 'solaris-2002', 'imdb': 'tt0307479', 'tmdb': 2103}",en,A troubled psychologist is sent to investigate the crew of an isolated research station orbiting a bizarre planet.,6.36016,2002-11-27,How far will you go for a second chance?,Solaris,1702.0,2019-12-26T17:18:05.000Z,2002.0
PG,us,85.0,"['action', 'adventure', 'fantasy', 'science-fiction', 'thriller', 'superhero']","{'trakt': 8480, 'slug': 'dragonball-evolution-2009', 'imdb': 'tt1098327', 'tmdb': 14164}",en,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",3.11658,2009-04-08,The legend comes to life.,Dragonball Evolution,1767.0,2019-12-26T17:14:08.000Z,2009.0
R,us,97.0,"['science-fiction', 'thriller']","{'trakt': 324153, 'slug': 'the-titan-2018', 'imdb': 'tt4986098', 'tmdb': 476926}",en,"On a bleak future Earth, a soldier endures a radical genetic transformation to save humanity. But his wife fears he's becoming more creature than man.",6.10943,2018-03-30,Evolve or die,The Titan,3701.0,2019-12-26T17:13:57.000Z,2018.0
R,ca,94.0,"['mystery', 'science-fiction', 'thriller']","{'trakt': 348, 'slug': 'cube-2-hypercube-2002', 'imdb': 'tt0285492', 'tmdb': 437}",en,The sequel to the low budget first film ‘Cube.’ This time the prisoners find them selves in a more advanced cube environment that they must escape from before they are killed. A science fiction film where space and time have more than one path.,6.01135,2002-04-15,There is more to fear than you can see.,Cube 2: Hypercube,1762.0,2019-12-26T17:13:35.000Z,2002.0
PG-13,us,98.0,"['action', 'science-fiction', 'thriller']","{'trakt': 6617, 'slug': 'rollerball-2002', 'imdb': 'tt0246894', 'tmdb': 11535}",en,"In this fast action-packed thriller, Jonathan, Marcus, and Aurora compete in a dangerous, fierce sport called Rollerball. Although, Johnathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich encourages them to still participate.",4.31482,2002-02-08,Go Ballistic,Rollerball,378.0,2019-12-26T17:13:13.000Z,2002.0
PG-13,us,110.0,"['action', 'fantasy', 'science-fiction', 'thriller', 'superhero']","{'trakt': 4277, 'slug': 'the-league-of-extraordinary-gentlemen-2003', 'imdb': 'tt0311429', 'tmdb': 8698}",en,"To prevent a world war from breaking out, famous characters from Victorian literature band together to do battle against a cunning villain.",6.4948,2003-07-11,The power of seven become a league of one.,The League of Extraordinary Gentlemen,5000.0,2019-12-26T17:12:38.000Z,2003.0
PG-13,us,106.0,"['thriller', 'romance', 'science-fiction']","{'trakt': 24500, 'slug': 'the-adjustment-bureau-2011', 'imdb': 'tt1385826', 'tmdb': 38050}",en,"A man glimpses the future Fate has planned for him – and chooses to fight for his own destiny. Battling the powerful Adjustment Bureau across, under and through the streets of New York, he risks his destined greatness to be with the only woman he's ever loved.",7.38988,2011-03-04,Fight for your fate.,The Adjustment Bureau,8100.0,2019-12-26T17:12:34.000Z,2011.0
PG,us,84.0,"['action', 'adventure', 'comedy', 'science-fiction', 'family']","{'trakt': 7174, 'slug': 'spy-kids-3-d-game-over-2003', 'imdb': 'tt0338459', 'tmdb': 12279}",en,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.",5.41523,2003-07-25,3rd Mission. 3rd Dimension.,Spy Kids 3-D: Game Over,1681.0,2019-12-26T17:11:30.000Z,2003.0
PG-13,us,106.0,"['comedy', 'fantasy', 'science-fiction']","{'trakt': 45, 'slug': 'mars-attacks-1996', 'imdb': 'tt0116996', 'tmdb': 75}",en,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",6.70571,1996-12-12,Nice planet. We'll take it!,Mars Attacks!,4431.0,2019-12-26T17:11:07.000Z,1996.0
R,us,107.0,"['thriller', 'science-fiction']","{'trakt': 885, 'slug': 'sunshine-2007', 'imdb': 'tt0448134', 'tmdb': 1272}",en,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.",7.34182,2007-06-30,"If the sun dies, so do we.",Sunshine,5067.0,2019-12-26T17:10:26.000Z,2007.0
PG-13,us,95.0,"['comedy', 'fantasy', 'science-fiction', 'romance']","{'trakt': 4624, 'slug': 'the-nutty-professor-1996', 'imdb': 'tt0117218', 'tmdb': 9327}",en,"Eddie Murphy stars as shy Dr. Sherman Klump, a kind, brilliant, 'calorifically challenged' genetic professor. When beautiful Carla Purty joins the university faculty, Sherman grows desperate to whittle his 400-pound frame down to size and win her heart. So, with one swig of his experimental fat-reducing serum, Sherman becomes 'Buddy Love', a fast-talking, pumped-up , plumped down Don Juan.",5.88046,1996-06-26,"Inside Sherman Klump, a party animal is about to break out.",The Nutty Professor,2585.0,2019-12-26T17:10:11.000Z,1996.0
R,cn,131.0,"['action', 'drama']","{'trakt': 39288, 'slug': 'shaolin-2011', 'imdb': 'tt1533749', 'tmdb': 55292}",cn,"China is plunged into strife as feuding warlords try to expand their power by warring over neighboring lands. Fuelled by his success on the battlefield, young and arrogant Hao Jie sneers at Shaolin's masters when he beats one of them in a duel. But the pride comes before a fall. When his own family is wiped out by a rival warlord, Hao is forced to take refuge with the monks. As the civil unrest spreads and the people suffer, Hao and the Shaolin masters are forced to take a fiery stand against the evil warlords. They launch a daring plan or rescue and escape.",7.07727,2011-09-09,"In a land torn by strife, the righteous monks of Shaolin stand as a beacon of hope for the oppressed masses.",Shaolin,440.0,2019-12-26T17:08:20.000Z,2011.0
PG,us,140.0,"['action', 'adventure', 'drama', 'family']","{'trakt': 24931, 'slug': 'the-karate-kid-2010', 'imdb': 'tt1155076', 'tmdb': 38575}",en,"12-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",6.52031,2010-06-10,A Challenge He Never Imagined. A Teacher He Never Expected.,The Karate Kid,5958.0,2019-12-26T17:08:07.000Z,2010.0
PG-13,us,88.0,"['action', 'comedy', 'fantasy', 'thriller']","{'trakt': 5785, 'slug': 'the-medallion-2003', 'imdb': 'tt0288045', 'tmdb': 10610}",en,A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.,6.17432,2003-08-15,,The Medallion,1067.0,2019-12-26T17:07:59.000Z,2003.0
PG,us,120.0,"['action', 'adventure', 'comedy']","{'trakt': 5416, 'slug': 'around-the-world-in-80-days-2004', 'imdb': 'tt0327437', 'tmdb': 10204}",en,"A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.",6.39638,2004-06-16,Let your imagination soar.,Around the World in 80 Days,1988.0,2019-12-26T17:07:59.000Z,2004.0
R,hk,108.0,"['action', 'drama', 'thriller']","{'trakt': 6785, 'slug': 'fist-of-fury-1972', 'imdb': 'tt0068767', 'tmdb': 11713}",zh,"Chen Zhen returns to the international compound of China only to learn of his beloved teacher's death. This is compounded by the continual racist harassment by the Japanese population in the area. Unlike his friends, he confronts it head on with his mastery of martial arts while investigating his teacher's murder.",7.32288,1972-11-07,Bruce Lee has done the impossible... ...HE'S SURPASSED HIMSELF!!!,Fist of Fury,638.0,2019-12-26T17:06:32.000Z,1972.0
PG-13,us,98.0,"['action', 'comedy', 'science-fiction', 'thriller']","{'trakt': 5933, 'slug': 'the-tuxedo-2002', 'imdb': 'tt0290095', 'tmdb': 10771}",en,"Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent.",6.08859,2002-09-27,Suit up for action!,The Tuxedo,1806.0,2019-12-26T17:05:43.000Z,2002.0
PG-13,us,135.0,"['action', 'adventure', 'science-fiction']","{'trakt': 5063, 'slug': 'waterworld-1995', 'imdb': 'tt0114898', 'tmdb': 9804}",en,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship.",6.64813,1995-07-28,Beyond the horizon lies the secret to a new beginning.,Waterworld,4243.0,2019-12-26T17:05:20.000Z,1995.0
PG-13,us,139.0,"['action', 'science-fiction', 'thriller']","{'trakt': 771, 'slug': 'godzilla-1998', 'imdb': 'tt0120685', 'tmdb': 929}",en,"When a freighter is viciously attacked in the Pacific Ocean, a team of experts -- including biologist Niko Tatopoulos and scientists Elsie Chapman and Mendel Craven -- concludes that an oversized reptile is the culprit. Before long, the giant lizard is loose in Manhattan, destroying everything within its reach. The team chases the monster to Madison Square Garden, where a brutal battle ensues.",5.95334,1998-05-20,Size does matter.,Godzilla,4008.0,2019-12-26T17:04:57.000Z,1998.0
PG,us,93.0,"['adventure', 'comedy', 'science-fiction', 'family']","{'trakt': 4646, 'slug': 'honey-i-shrunk-the-kids-1989', 'imdb': 'tt0097523', 'tmdb': 9354}",en,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,6.84021,1989-06-22,"The most astonishing, innovative, backyard adventure of all time!","Honey, I Shrunk the Kids",3924.0,2019-12-26T17:04:31.000Z,1989.0
PG,us,125.0,"['action', 'adventure', 'science-fiction']","{'trakt': 12601, 'slug': 'tron-legacy-2010', 'imdb': 'tt1104001', 'tmdb': 20526}",en,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",7.27139,2010-12-10,The Game Has Changed.,TRON: Legacy,13221.0,2019-12-26T17:04:19.000Z,2010.0
PG,us,143.0,"['science-fiction', 'superhero', 'action', 'adventure']","{'trakt': 1298, 'slug': 'superman-1978', 'imdb': 'tt0078346', 'tmdb': 1924}",en,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane. Clark must summon his superhero alter-ego when the nefarious Lex Luthor launches a plan to take over the world.",7.48818,1978-12-14,You'll Believe a Man Can Fly!,Superman,4146.0,2019-12-26T17:04:03.000Z,1978.0
PG-13,us,144.0,"['action', 'science-fiction']","{'trakt': 217461, 'slug': 'maze-runner-the-death-cure-2018', 'imdb': 'tt4500922', 'tmdb': 336843}",en,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",6.99678,2018-01-26,The end will be WCKD,Maze Runner: The Death Cure,11193.0,2019-12-26T17:03:48.000Z,2018.0
PG-13,us,132.0,"['action', 'science-fiction', 'thriller']","{'trakt': 190987, 'slug': 'maze-runner-the-scorch-trials-2015', 'imdb': 'tt4046784', 'tmdb': 294254}",en,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",6.84376,2015-09-18,The Maze Was Just the Beginning.,Maze Runner: The Scorch Trials,16884.0,2019-12-26T17:03:25.000Z,2015.0
PG-13,us,111.0,"['action', 'science-fiction', 'fantasy', 'adventure']","{'trakt': 167163, 'slug': 'pacific-rim-uprising-2018', 'imdb': 'tt2557478', 'tmdb': 268896}",en,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.",6.56576,2018-03-23,Rise Up,Pacific Rim: Uprising,11063.0,2019-12-26T17:03:03.000Z,2018.0
PG-13,us,79.0,"['animation', 'science-fiction', 'action', 'adventure', 'thriller']","{'trakt': 7146, 'slug': '9-2009', 'imdb': 'tt0472033', 'tmdb': 12244}",en,"When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good.",7.3145,2009-09-09,When our world ended their mission began.,9,5612.0,2019-12-26T17:02:53.000Z,2009.0
PG-13,us,125.0,"['action', 'fantasy', 'superhero', 'science-fiction', 'comedy']","{'trakt': 331, 'slug': 'batman-robin-1997', 'imdb': 'tt0118688', 'tmdb': 415}",en,"Along with crime-fighting partner Robin and new recruit Batgirl, Batman battles the dual threat of frosty genius Mr. Freeze and homicidal horticulturalist Poison Ivy. Freeze plans to put Gotham City on ice, while Ivy tries to drive a wedge between the dynamic duo.",4.67708,1997-06-20,Strength. Courage. Honor. And loyalty.,Batman & Robin,5280.0,2019-12-26T17:02:50.000Z,1997.0
PG-13,us,103.0,"['action', 'comedy', 'crime', 'science-fiction', 'thriller']","{'trakt': 4108, 'slug': 'the-spirit-2008', 'imdb': 'tt0831887', 'tmdb': 8285}",en,"Down these mean streets a man must come.  A hero born, murdered, and born again.  A Rookie cop named Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces from the shadows of Central City.  The Octopus, who kills anyone unfortunate enough to see his face, has other plans; he is going to wipe out the entire city.",5.32243,2008-12-25,I'm gonna kill you all kinds of dead.,The Spirit,1253.0,2019-12-26T16:59:14.000Z,2008.0
R,us,108.0,"['drama', 'science-fiction', 'thriller']","{'trakt': 70756, 'slug': 'under-the-skin-2014', 'imdb': 'tt1441395', 'tmdb': 97370}",en,A seductive alien prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell.,5.97794,2014-04-04,,Under the Skin,4080.0,2019-12-26T16:57:11.000Z,2014.0
PG-13,us,115.0,"['comedy', 'science-fiction']","{'trakt': 326808, 'slug': 'men-in-black-international-2019', 'imdb': 'tt2283336', 'tmdb': 479455}",en,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.",6.6805,2019-06-14,The universe is expanding,Men in Black: International,9834.0,2019-12-26T14:43:38.000Z,2019.0
PG-13,us,107.0,"['thriller', 'science-fiction']","{'trakt': 237986, 'slug': 'replicas-2018', 'imdb': 'tt4154916', 'tmdb': 300681}",en,A scientist becomes obsessed with returning his family to normalcy after a terrible accident.,6.68524,2019-01-11,Some humans are unstoppable,Replicas,3895.0,2019-12-26T12:38:28.000Z,2018.0
PG-13,us,146.0,"['adventure', 'drama', 'science-fiction']","{'trakt': 520, 'slug': 'a-i-artificial-intelligence-2001', 'imdb': 'tt0212720', 'tmdb': 644}",en,"David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.",7.30235,2001-06-29,"David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.",A.I. Artificial Intelligence,6380.0,2019-12-23T19:21:29.000Z,2001.0
PG-13,us,101.0,"['action', 'adventure', 'crime', 'drama', 'mystery', 'thriller']","{'trakt': 6753, 'slug': 'xxx-state-of-the-union-2005', 'imdb': 'tt0329774', 'tmdb': 11679}",en,"Ice Cube stars as Darius Stone, a thrill-seeking troublemaker whose criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert (played by Willem Dafoe).",5.86403,2005-04-29,Prepare for the next level,xXx: State of the Union,2199.0,2019-12-23T18:52:26.000Z,2005.0
PG,us,88.0,"['animation', 'drama', 'history', 'family']","{'trakt': 13600, 'slug': 'the-ten-commandments-2007', 'imdb': 'tt0955411', 'tmdb': 22331}",en,"This vibrantly animated feature recounts the biblical epic of the Hebrew prophet Moses and the Ten Commandments. Led by the word of God, Moses challenges the ominous Egyptian pharaoh, performs miracles and guides the chosen people on a 40-year journey through the desert to free them from captivity and lead them to the Promised Land.",6.625,2007-10-19,,The Ten Commandments,24.0,2019-12-23T18:44:20.000Z,2007.0
PG-13,us,116.0,"['action', 'adventure', 'fantasy', 'romance']","{'trakt': 4821, 'slug': 'prince-of-persia-the-sands-of-time-2010', 'imdb': 'tt0473075', 'tmdb': 9543}",en,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",6.73677,2010-05-27,Defy the Future,Prince of Persia: The Sands of Time,7841.0,2019-12-23T18:44:09.000Z,2010.0
PG-13,us,135.0,"['science-fiction', 'adventure']","{'trakt': 221890, 'slug': 'solo-a-star-wars-story-2018', 'imdb': 'tt3778644', 'tmdb': 348350}",en,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",7.23477,2018-05-25,Never tell him the odds.,Solo: A Star Wars Story,15658.0,2019-12-23T13:32:06.000Z,2018.0
NR,ca,101.0,"['horror', 'science-fiction']","{'trakt': 163697, 'slug': 'extraterrestrial-2014', 'imdb': 'tt2960930', 'tmdb': 265016}",en,"Five friends set out to a cabin in the woods for a fun weekend getaway that is, until extraterrestrial visitors turn it into a fight for their lives. The group is pulled from their reverie when a flickering object crashes deep in the woods. As they investigate, the friends stumble across an alien spacecraft, and its inhabitants have not arrived in peace.",5.81911,2014-10-17,They do not come in peace.,Extraterrestrial,785.0,2019-12-22T22:05:29.000Z,2014.0
R,us,113.0,"['horror', 'thriller']","{'trakt': 2648, 'slug': '30-days-of-night-2007', 'imdb': 'tt0389722', 'tmdb': 4513}",en,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",6.79201,2007-10-19,They're Coming!,30 Days of Night,3404.0,2019-12-22T19:53:58.000Z,2007.0
,us,90.0,"['animation', 'horror', 'fantasy', 'action']","{'trakt': 405414, 'slug': 'constantine-city-of-demons-the-movie-2018', 'imdb': 'tt9177882', 'tmdb': 539517}",en,"A decade after a tragic mistake, family man Chas and occult detective John Constantine set out to cure Chas’s daughter Trish from a mysterious supernatural coma. With the help of the mysterious Nightmare Nurse, the influential Queen of Angels, and brutal Aztec God Mictlantecuhtli, the pair just might have a chance at outsmarting the demon Beroul to save Trish’s soul. In a world of shadows and dark magic, not everything is what it seems, and there’s always a price to pay. The path to redemption is never easy, and if Constantine is to succeed, he must navigate through the dark urban underbelly of Los Angeles, outwit the most cunning spawns of hell, and come face to face with arch-nemesis Nergal – all while battling his own inner demons!",7.31707,2018-10-04,,Constantine: City of Demons - The Movie,410.0,2019-12-22T16:34:46.000Z,2018.0
R,us,115.0,"['mystery', 'science-fiction', 'thriller']","{'trakt': 380096, 'slug': 'in-the-shadow-of-the-moon-2019', 'imdb': 'tt8110640', 'tmdb': 530382}",en,"In 1988, Philadelphia police officer Thomas ""Locke"" Lockhart, hungry to become a detective, begins tracking a serial killer whose crimes defy scientific explanation. When the killer mysteriously resurfaces nine years later, Locke's obsession with finding the truth threatens to destroy his career, his family, and possibly his sanity.",6.76351,2019-09-28,,In the Shadow of the Moon,2165.0,2019-12-20T20:19:01.000Z,2019.0
PG-13,us,123.0,"['science-fiction', 'drama', 'thriller', 'adventure', 'mystery']","{'trakt': 298164, 'slug': 'ad-astra-2019', 'imdb': 'tt2935510', 'tmdb': 419704}",en,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.",6.40265,2019-09-20,The answers we seek are just outside our reach,Ad Astra,8680.0,2019-12-19T19:57:47.000Z,2019.0
R,us,122.0,"['crime', 'thriller', 'drama']","{'trakt': 322988, 'slug': 'joker-2019', 'imdb': 'tt7286456', 'tmdb': 475557}",en,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",8.2038,2019-10-04,Put on a happy face.,Joker,22566.0,2019-12-19T17:10:28.000Z,2019.0
PG-13,us,133.0,"['science-fiction', 'adventure', 'action']","{'trakt': 211396, 'slug': 'rogue-one-a-star-wars-story-2016', 'imdb': 'tt3748528', 'tmdb': 330459}",en,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,7.97881,2016-12-16,A Rebellion Built on Hope,Rogue One: A Star Wars Story,39967.0,2019-12-16T18:00:41.000Z,2016.0
R,ca,91.0,"['mystery', 'thriller']","{'trakt': 114374, 'slug': 'enemy-2013', 'imdb': 'tt2316411', 'tmdb': 181886}",en,A mild-mannered college professor discovers a look-alike actor and delves into the other man's private affairs.,6.82677,2014-03-14,You can’t escape Yourself!,Enemy,5051.0,2019-12-15T20:17:11.000Z,2013.0
