certification,country,duration,genres,ids,language,overview,rating,released,tagline,title,votes,watched_at,year
,us,78,"['horror', 'drama', 'thriller']","{'trakt': 221591, 'slug': 'contracted-phase-ii-2015', 'imdb': 'tt4255110', 'tmdb': 345468}",en,"Picking up directly where the previous film left off, the story follows Riley, one of the last people to come in contact with Samantha, as he scrambles to track down those responsible for the outbreak before the highly contagious disease not only consumes his body, but the world as we know it.",5.9322,2015-07-05,Protection is out of the question,Contracted: Phase II,295.0,2019-01-05T17:06:15.000Z,2015
R,us,78,"['horror', 'thriller']","{'trakt': 127180, 'slug': 'contracted-2013', 'imdb': 'tt2281159', 'tmdb': 204349}",en,A young girl contracts what she thinks is a sexually-transmitted disease - but is actually something much worse.,5.77358,2013-11-22,Not your average one night stand.,Contracted,530.0,2019-01-05T17:06:13.000Z,2013
NR,us,104,"['science-fiction', 'thriller', 'mystery']","{'trakt': 171172, 'slug': 'time-lapse-2014', 'imdb': 'tt2669336', 'tmdb': 273271}",en,"Three friends discover a mysterious machine that takes pictures 24 hours into the future and conspire to use it for personal gain, until disturbing and dangerous images begin to develop.",6.68519,2014-05-24,"Once you see the future, you can't look away.",Time Lapse,2249.0,2018-12-30T21:11:53.000Z,2014
PG-13,us,104,['comedy'],"{'trakt': 5414, 'slug': 'yes-man-2008', 'imdb': 'tt1068680', 'tmdb': 10201}",en,Carl Allen has stumbled across a way to shake free of post-divorce blues and a dead-end job: embrace life and say yes to everything.,7.12677,2008-12-19,One Word Can Change Everything.,Yes Man,7423.0,2018-12-16T19:43:15.000Z,2008
R,us,88,"['action', 'fantasy', 'horror']","{'trakt': 43151, 'slug': 'hansel-gretel-witch-hunters-2013', 'imdb': 'tt1428538', 'tmdb': 60304}",en,"After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.",6.56152,2013-01-25,Classic tale. New twist.,Hansel & Gretel: Witch Hunters,8062.0,2018-12-06T20:44:22.000Z,2013
R,us,96,"['science-fiction', 'thriller', 'drama', 'action']","{'trakt': 284678, 'slug': 'extinction-2018', 'imdb': 'tt3201640', 'tmdb': 429415}",en,"A chief mechanic at a factory, haunted by apocalyptic nightmares, becomes a hero when Earth is invaded by a mysterious army bent on destruction.",6.5105,2018-07-26,We were not here first,Extinction,3571.0,2018-12-06T20:43:59.000Z,2018
,us,110,"['horror', 'drama', 'science-fiction']","{'trakt': 219182, 'slug': 'extinction-2015', 'imdb': 'tt3467412', 'tmdb': 338676}",en,"And suddenly, overnight, the world came to a halt. Two men, two survivors, one kid, and hatred that separates them. A place forgotten by everyone, including the creatures that inhabit the Earth... until now.",6.36381,2015-08-07,"When the undead can evolve, no one is safe.",Extinction,1575.0,2018-12-05T21:10:11.000Z,2015
R,us,138,"['crime', 'drama']","{'trakt': 107776, 'slug': 'american-hustle-2013', 'imdb': 'tt1800241', 'tmdb': 168672}",en,"A conman and his seductive partner are forced to work for a wild FBI agent, who pushes them into a world of Jersey power-brokers and the Mafia.",7.12842,2013-12-20,Everyone Hustles To Survive,American Hustle,11377.0,2018-11-30T20:11:34.000Z,2013
PG-13,us,101,"['comedy', 'drama', 'romance']","{'trakt': 203, 'slug': 'about-a-boy-2002', 'imdb': 'tt0276751', 'tmdb': 245}",en,"Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself off as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. But Will's hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus, in many ways his complete opposite.",7.13602,2002-05-17,One ordinary couple. One little white lie.,About a Boy,2507.0,2018-11-28T22:57:07.000Z,2002
PG,us,104,"['action', 'adventure', 'fantasy', 'family']","{'trakt': 1732, 'slug': 'eragon-2006', 'imdb': 'tt0449010', 'tmdb': 2486}",en,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.",5.43116,2006-12-15,"As darkness falls, the last dragon will choose its rider.",Eragon,3087.0,2018-11-28T22:56:19.000Z,2006
